날짜, 종목코드, 거래량
0,20220908,900110,1697869.2
1,20220908,900270,1256596.5
2,20220908,900260,2325464.8
3,20220908,900290,424163.8
4,20220908,900300,654363.4
5,20220908,900310,2450556.2
6,20220908,900340,864524.6
7,20220908,000250,106461.1
8,20220908,000440,460550.1
9,20220908,001000,3692741.5
10,20220908,001540,75658.2
11,20220908,001810,160994.7
12,20220908,001840,210823.9
13,20220908,002230,8779.0
14,20220908,002290,237441.6
15,20220908,002680,2640893.1
